This file was created using the 202607 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
192607,   1.44,  15.58,   3.67,  -1.14,   8.02,   3.15,   0.83,   7.04,   0.12,   1.85,  -0.02,   2.23
192608,   3.99,   3.70,   2.41,   3.43,   5.10,   1.98,   2.17,  -1.70,  -0.72,   4.17,   4.26,   4.35
192609,   1.15,   4.98,  -0.07,  -3.30,   5.38,  -0.35,   2.42,   2.05,   0.21,   0.69,  -1.63,   0.39
192610,  -1.24,  -8.39,  -3.18,  -0.78,  -4.55,  -5.38,  -0.11,  -3.27,  -2.29,  -0.57,  -5.52,  -2.75
192611,   5.21,  -0.17,   4.03,   0.01,   5.09,   4.79,   1.63,   4.40,   6.45,   5.43,   2.54,   2.11
192612,   0.80,   9.90,   3.53,   2.82,   5.28,  -1.80,   1.99,  -0.18,   0.62,   0.09,   2.16,   3.51
192701,  -0.65,  -0.92,  -0.36,   1.28,   0.30,  -0.77,   1.88,  -1.79,  -2.54,   5.07,  -2.05,   1.63
192702,   3.36,   8.96,   4.61,   1.47,   9.56,   4.60,   3.97,   4.54,   3.62,   1.71,   2.71,   5.15
192703,   2.77,   1.62,   0.35,  -6.04,   6.03,   0.57,   5.62,   0.37,  -0.46,   1.01,   0.90,   1.18
192704,   3.51,   3.14,   0.17,  -5.17,   2.78,   6.20,  -2.07,   1.71,   4.48,   2.74,   2.46,   0.80
192705,   8.30,   5.95,   5.41,   4.78,   4.15,   7.71,   3.35,   9.23,   2.34,   4.13,  10.03,   6.43
192706,  -1.97,  -3.02,  -2.63,  -3.15,  -1.75,   2.90,  -2.16,  -3.58,  -0.61,   0.54,  -0.07,  -2.24
192707,   4.84,  13.10,  10.11,   2.86,  17.12,  13.57,   3.73,   5.50,   9.86,   9.84,   6.49,   6.07
192708,   2.73,   7.02,   3.21,  -0.04,   2.11,   6.50,   0.43,   3.26,   7.35,   0.27,   1.83,  -1.16
192709,   5.27,   5.66,   3.89,   3.31,   5.78,   0.86,   6.55,   8.29,   7.50,   5.66,   5.94,   4.51
192710,  -0.64,  -4.41,  -6.68,  -2.07,  -6.93,  -7.16,  -2.09,  -4.35,  -4.94,   5.14,   4.01,  -4.27
192711,   6.32,   6.41,  11.38,   4.20,   8.95,  11.14,   2.83,   6.33,  11.69,   3.68,   7.94,   4.29
192712,   2.50,   7.78,   3.73,  -0.24,  -0.04,   2.14,   1.33,   2.24,  -0.68,  -0.47,  11.17,   1.37
192801,   0.47,  -3.34,  -0.59,  -1.88,  -0.44,  -0.44,   0.29,   5.88,  -0.88,   2.70,   1.49,  -1.12
192802,  -3.97,   1.28,  -2.62,  -0.18,   0.99,  -0.84,  -0.30,  -0.77,  -1.12,  -3.44,  -2.89,  -1.95
192803,   4.40,  27.50,   6.45,   5.62,  12.69,  22.47,   1.97,   6.65,   8.47,   9.94,   9.57,   5.74
192804,  -0.48,   1.46,   2.03,  15.25,   0.06,   2.31,   3.13,  10.96,   0.02,   2.35,   9.35,   3.96
192805,   0.90,   5.65,   3.97,  -5.35,   2.69,   1.69,   6.57,   1.50,   3.81,   9.30,   1.69,  -0.14
192806,  -4.40,  -4.13,  -5.59,  -4.08,  -2.76,  -5.32,  -5.21,  -3.44,  -3.40,  -3.12, -10.74,  -3.94
192807,   1.68,   0.98,   2.15,   1.05,   2.02,  -0.03,  -1.28,  -1.23,   5.45,   2.40,   0.33,  -0.42
192808,   6.11,   9.10,   8.18,   2.41,   8.92,  11.18,   4.55,   6.48,  13.56,  14.72,   5.16,   4.71
192809,   1.17,   7.89,   3.63,   5.34,   4.63,   1.30,   0.14,   3.79,   0.16,  -1.14,   2.63,   0.93
192810,   0.90,   0.07,   3.92,   2.04,   5.11,   1.98,   2.97,  -1.91,   5.89,   0.05,   1.50,  -0.72
192811,   6.59,   4.53,  12.75,  17.28,  12.89,  21.69,   6.68,  22.01,  15.31,   5.05,  10.18,   9.98
192812,  -0.31,  -1.22,   3.32,  -4.36,   1.94,   8.28,  -0.36,   1.54,  -1.32,  -0.46,   0.65,   0.37
192901,   3.22,   1.31,   7.08,  -7.59,  21.79,  11.54,  13.38,  13.30,  -3.88,   3.41,   8.52,   5.29
192902,  -2.54,   0.00,   4.83,  -0.17,  -0.58,  -1.39,  -1.15,  -1.99,  -2.41,   0.04,   0.92,  -0.05
