date,high,low,close,adjclose
1999-03-10,51.156250,50.281250,51.062500,42.982269
1999-03-11,51.734375,50.312500,51.312500,43.192688
1999-03-12,51.156250,49.656250,50.062500,42.140533
1999-03-15,51.562500,49.906250,51.500000,43.350533
1999-03-16,52.156250,51.156250,51.937500,43.718803
1999-03-17,52.000000,51.406250,51.562500,43.403141
1999-03-18,52.593750,51.484375,52.562500,44.244923
1999-03-19,53.250000,51.187500,51.218750,43.113789
1999-03-22,51.562500,50.500000,50.593750,42.587673
1999-03-23,50.500000,48.718750,48.812500,41.088314
1999-03-24,50.500000,48.500000,50.468750,42.482494
1999-03-25,52.312500,50.914062,52.312500,44.034451
1999-03-26,52.468750,51.531250,51.750000,43.560966
1999-03-29,53.656250,52.062500,53.625000,45.139286
1999-03-30,54.000000,53.031250,53.250000,44.823624
1999-03-31,54.187500,52.312500,52.468750,44.165985
1999-04-01,54.062500,52.687500,53.562500,45.086666
1999-04-05,55.578125,54.093750,55.500000,46.717560
1999-04-06,56.218750,54.968750,55.609375,46.809635
1999-04-07,56.250000,53.843750,55.031250,46.323002
1999-04-08,55.734375,53.812500,55.468750,46.691246
1999-04-09,55.937500,55.218750,55.812500,46.980614
1999-04-12,55.812500,54.437500,55.437500,46.664951
1999-04-13,55.906250,54.250000,54.687500,46.033646
1999-04-14,55.437500,52.507812,52.812500,44.455330
1999-04-15,53.617188,51.125000,53.531250,45.060379
1999-04-16,53.406250,51.687500,51.968750,43.745106
1999-04-19,52.750000,49.007812,49.531250,41.693336
1999-04-20,51.062500,48.843750,50.656250,42.640301
1999-04-21,53.187500,50.437500,53.156250,44.744694
1999-04-22,54.750000,53.304688,54.593750,45.954739
1999-04-23,55.718750,53.750000,55.312500,46.559719
1999-04-26,57.000000,55.507812,56.585938,47.631668
1999-04-27,57.281250,55.007812,55.718750,46.901722
1999-04-28,55.437500,53.570312,53.812500,45.297096
1999-04-29,53.875000,52.250000,53.375000,44.928841
1999-04-30,54.406250,51.812500,53.718750,45.218170
1999-05-03,53.781250,52.539062,53.437500,44.981445
1999-05-04,54.375000,52.281250,52.593750,44.271214
1999-05-05,54.187500,51.031250,54.187500,45.612766
1999-05-06,54.156250,51.718750,52.218750,43.955555
1999-05-07,53.125000,51.562500,52.968750,44.586872
1999-05-10,53.859375,52.687500,53.500000,45.034050
1999-05-11,54.625000,53.625000,54.343750,45.744282
1999-05-12,55.656250,53.000000,55.468750,46.691246
1999-05-13,56.000000,54.187500,54.437500,45.823189
1999-05-14,54.000000,53.000000,53.406250,44.955143
1999-05-17,54.531250,52.414062,54.367188,45.764019
1999-05-18,54.625000,53.500000,54.125000,45.560150
1999-05-19,54.906250,53.500000,54.875000,46.191494
1999-05-20,54.992188,53.281250,53.367188,44.922264
1999-05-21,53.687500,52.593750,52.875000,44.507957
1999-05-24,53.062500,51.187500,51.531250,43.376842
1999-05-25,52.218750,49.625000,49.843750,41.956379
1999-05-26,51.437500,48.937500,51.234375,43.126949
1999-05-27,51.929688,50.375000,51.187500,43.087475
1999-05-28,52.312500,50.843750,52.031250,43.797718
1999-06-01,52.187500,50.593750,50.875000,42.824432
1999-06-02,52.000000,49.570312,51.734375,43.547829
1999-06-03,52.125000,50.687500,51.000000,42.929649
1999-06-04,52.742188,51.375000,52.562500,44.244923
1999-06-07,53.992188,52.812500,53.656250,45.165600
1999-06-08,54.031250,52.039062,52.312500,44.034451
1999-06-09,53.335938,52.468750,53.187500,44.770992
1999-06-10,52.937500,51.945312,52.578125,44.258041
1999-06-11,52.992188,51.312500,51.781250,43.587276
1999-06-14,51.968750,50.687500,50.804688,42.765244
1999-06-15,51.867188,50.781250,51.562500,43.403141
1999-06-16,54.210938,52.781250,54.210938,45.632484
1999-06-17,55.062500,53.500000,54.812500,46.138855
1999-06-18,55.218750,54.218750,55.062500,46.349312
1999-06-21,56.742188,55.343750,56.710938,47.736881
1999-06-22,57.093750,55.000000,55.000000,46.296703
1999-06-23,56.000000,54.656250,55.867188,47.026642
1999-06-24,55.875000,54.500000,54.757812,46.092815
1999-06-25,55.562500,54.187500,54.687500,46.033646
1999-06-28,56.062500,54.703125,55.984375,47.125290
1999-06-29,56.968750,55.656250,56.750000,47.769764
1999-06-30,59.937500,56.132812,57.625000,48.506294
1999-07-01,58.343750,56.812500,58.015625,48.835125
1999-07-02,58.812500,58.000000,58.750000,49.453278
1999-07-06,59.656250,58.062500,58.375000,49.137615
1999-07-07,58.718750,57.937500,58.468750,49.216537
1999-07-08,59.492188,58.187500,59.250000,49.874153
1999-07-09,59.906250,59.031250,59.843750,50.373955
1999-07-12,60.375000,59.187500,59.531250,50.110928
1999-07-13,59.468750,58.781250,59.250000,49.874153
1999-07-14,60.375000,59.000000,60.257812,50.722504
1999-07-15,60.812500,60.132812,60.812500,51.189407
1999-07-16,61.718750,60.820312,61.375000,51.662903
1999-07-19,61.625000,60.507812,60.750000,51.136791
1999-07-20,60.093750,58.250000,58.406250,49.163937
1999-07-21,59.195312,58.062500,58.687500,49.400669
1999-07-22,58.687500,57.031250,57.195312,48.144619
1999-07-23,57.867188,56.687500,57.281250,48.216946
1999-07-26,57.125000,55.781250,55.875000,47.033218
1999-07-27,57.875000,56.515625,57.000000,47.980186
1999-07-28,58.437500,56.945312,58.117188,48.920609
1999-07-29,57.500000,56.312500,56.875000,47.874992
1999-07-30,57.750000,56.507812,56.593750,47.638226
1999-08-02,57.812500,56.218750,56.437500,47.506721
1999-08-03,57.218750,55.250000,56.070312,47.197636
1999-08-04,56.492188,55.007812,55.054688,46.342731
1999-08-05,55.929688,53.750000,55.929688,47.079254
1999-08-06,56.562500,54.937500,55.328125,46.572880
1999-08-09,55.687500,54.507812,54.617188,45.974442
1999-08-10,54.867188,52.937500,54.125000,45.560150
1999-08-11,56.000000,54.265625,55.906250,47.059536
1999-08-12,56.500000,55.125000,55.250000,46.507126
1999-08-13,57.718750,56.312500,57.656250,48.532608
1999-08-16,58.312500,57.250000,58.117188,48.920609
