date,high,low,close,adjclose
1995-05-09,52.843750,52.437500,52.515625,30.422314
1995-05-10,52.671875,52.328125,52.578125,30.458517
1995-05-11,52.718750,52.484375,52.718750,30.539984
1995-05-12,52.875000,52.500000,52.750000,30.558115
1995-05-15,53.000000,52.781250,53.000000,30.702921
1995-05-16,53.156250,52.890625,53.031250,30.721025
1995-05-17,53.046875,52.781250,52.828125,30.603357
1995-05-18,52.765625,52.062500,52.062500,30.159838
1995-05-19,52.187500,51.906250,52.093750,30.177942
1995-05-22,52.750000,52.234375,52.671875,30.512836
1995-05-23,53.156250,52.609375,53.156250,30.793444
1995-05-24,53.421875,52.796875,53.125000,30.775326
1995-05-25,53.218750,52.718750,53.171875,30.802505
1995-05-26,52.984375,52.359375,52.562500,30.449478
1995-05-30,52.828125,52.375000,52.546875,30.440441
1995-05-31,53.640625,52.453125,53.640625,31.074024
1995-06-01,53.906250,53.250000,53.500000,30.992579
1995-06-02,53.921875,53.093750,53.546875,31.019722
1995-06-05,54.046875,53.500000,53.875000,31.209785
1995-06-06,54.015625,53.781250,53.781250,31.155495
1995-06-07,53.703125,53.437500,53.500000,30.992579
1995-06-08,53.640625,53.375000,53.375000,30.920145
1995-06-09,53.328125,52.750000,53.062500,30.739159
1995-06-12,53.578125,53.203125,53.359375,30.911118
1995-06-13,53.968750,53.562500,53.937500,31.246046
1995-06-14,53.953125,53.687500,53.890625,31.218866
1995-06-15,54.234375,53.875000,54.125000,31.354639
1995-06-16,53.968750,53.703125,53.968750,31.447704
1995-06-19,54.609375,54.093750,54.578125,31.802816
1995-06-20,54.609375,54.390625,54.437500,31.720844
1995-06-21,54.656250,54.406250,54.406250,31.702662
1995-06-22,55.156250,54.640625,55.125000,32.121471
1995-06-23,55.031250,54.843750,55.015625,32.057739
1995-06-26,54.953125,54.359375,54.359375,31.675339
1995-06-27,54.703125,54.218750,54.250000,31.611614
1995-06-28,54.750000,54.078125,54.531250,31.775507
1995-06-29,54.671875,54.062500,54.437500,31.720844
1995-06-30,54.734375,54.296875,54.406250,31.702662
1995-07-03,54.609375,54.468750,54.609375,31.821047
1995-07-05,55.062500,54.640625,54.812500,31.939377
1995-07-06,55.515625,54.718750,55.515625,32.349094
1995-07-07,55.781250,55.375000,55.765625,32.494781
1995-07-10,55.953125,55.703125,55.796875,32.512966
1995-07-11,55.796875,55.453125,55.531250,32.358200
1995-07-12,56.312500,55.531250,56.218750,32.758804
1995-07-13,56.265625,56.031250,56.093750,32.685970
1995-07-14,56.093750,55.750000,56.046875,32.658653
1995-07-17,56.421875,56.078125,56.359375,32.840744
1995-07-18,56.265625,55.828125,55.875000,32.558502
1995-07-19,55.718750,54.203125,55.265625,32.203415
1995-07-20,55.578125,55.031250,55.468750,32.321781
1995-07-21,55.625000,55.187500,55.406250,32.285358
1995-07-24,55.875000,55.484375,55.812500,32.522091
1995-07-25,56.312500,55.703125,56.234375,32.767910
1995-07-26,56.468750,56.171875,56.187500,32.740604
1995-07-27,56.703125,56.453125,56.656250,33.013741
1995-07-28,56.703125,56.250000,56.296875,32.804317
1995-07-31,56.390625,56.031250,56.156250,32.722393
1995-08-01,56.234375,55.750000,56.062500,32.667759
1995-08-02,56.796875,55.843750,55.937500,32.594910
1995-08-03,55.953125,55.453125,55.921875,32.585812
1995-08-04,56.078125,55.921875,55.984375,32.622227
1995-08-07,56.281250,56.078125,56.109375,32.695076
1995-08-08,56.312500,55.937500,56.109375,32.695076
1995-08-09,56.296875,56.046875,56.093750,32.685970
1995-08-10,56.281250,55.734375,55.968750,32.613125
1995-08-11,55.984375,55.421875,55.656250,32.431034
1995-08-14,56.156250,55.671875,56.156250,32.722393
1995-08-15,56.140625,55.656250,56.046875,32.658653
1995-08-16,56.203125,55.937500,56.203125,32.749710
1995-08-17,56.234375,55.906250,56.109375,32.695076
1995-08-18,56.406250,56.125000,56.171875,32.731483
1995-08-21,56.640625,56.000000,56.015625,32.640450
1995-08-22,56.218750,55.812500,56.125000,32.704170
1995-08-23,56.203125,55.921875,55.921875,32.585812
1995-08-24,56.093750,55.750000,55.984375,32.622227
1995-08-25,56.390625,56.078125,56.296875,32.804317
1995-08-28,56.453125,56.000000,56.093750,32.685970
1995-08-29,56.250000,55.765625,56.234375,32.767910
1995-08-30,56.421875,56.218750,56.359375,32.840744
1995-08-31,56.500000,56.296875,56.406250,32.868061
1995-09-01,56.750000,56.343750,56.656250,33.013741
1995-09-05,57.218750,56.734375,57.187500,33.323296
1995-09-06,57.359375,57.218750,57.296875,33.387035
1995-09-07,57.390625,57.250000,57.328125,33.405251
1995-09-08,57.546875,57.171875,57.546875,33.532711
1995-09-11,57.812500,57.640625,57.703125,33.623756
1995-09-12,57.968750,57.578125,57.968750,33.778538
1995-09-13,58.312500,57.890625,58.234375,33.933323
1995-09-14,58.812500,58.281250,58.765625,34.242886
1995-09-15,58.578125,58.203125,58.437500,34.233425
1995-09-18,58.265625,57.937500,58.218750,34.105293
1995-09-19,58.531250,58.125000,58.500000,34.270042
1995-09-20,58.781250,58.546875,58.781250,34.434799
1995-09-21,58.750000,58.062500,58.296875,34.151058
1995-09-22,58.375000,57.781250,58.312500,34.160210
1995-09-25,58.375000,58.015625,58.218750,34.105293
1995-09-26,58.531250,58.062500,58.203125,34.096138
1995-09-27,58.187500,57.593750,58.156250,34.068661
1995-09-28,58.593750,58.156250,58.593750,34.324966
1995-09-29,58.906250,58.406250,58.484375,34.260891
1995-10-02,58.625000,58.046875,58.187500,34.086967
