date,high,low,close,adjclose
1998-12-22,10.414063,10.375000,10.414063,5.670645
1998-12-23,10.570313,10.484375,10.523438,5.730203
1998-12-24,10.765625,10.601563,10.765625,5.862078
1998-12-28,10.750000,10.656250,10.671875,5.811031
1998-12-29,10.867188,10.867188,10.867188,5.917380
1998-12-30,10.859375,10.835938,10.835938,5.900366
1998-12-31,11.000000,10.929688,10.960938,5.968430
1999-01-04,11.125000,10.828125,10.828125,5.896109
1999-01-05,11.148438,10.929688,11.093750,6.040750
1999-01-06,11.289063,11.109375,11.289063,6.147099
1999-01-07,11.695313,11.164063,11.203125,6.100304
1999-01-08,11.585938,11.304688,11.585938,6.308754
1999-01-11,11.609375,11.500000,11.609375,6.321511
1999-01-12,11.562500,11.289063,11.312500,6.159861
1999-01-13,11.187500,10.976563,11.062500,6.023729
1999-01-14,11.109375,10.781250,10.875000,5.921632
1999-01-15,11.039063,10.945313,11.039063,6.010967
1999-01-19,11.000000,10.757813,10.835938,5.900366
1999-01-20,10.914063,10.789063,10.796875,5.879096
1999-01-21,10.812500,10.695313,10.750000,5.853570
1999-01-22,10.679688,10.523438,10.539063,5.738709
1999-01-25,10.750000,10.609375,10.750000,5.853570
1999-01-26,10.718750,10.593750,10.718750,5.836555
1999-01-27,10.914063,10.632813,10.632813,5.789759
1999-01-28,10.695313,10.500000,10.500000,5.717438
1999-01-29,10.554688,10.476563,10.554688,5.747218
1999-02-01,10.750000,10.640625,10.640625,5.794014
1999-02-02,10.687500,10.593750,10.648438,5.798266
1999-02-03,10.695313,10.625000,10.656250,5.802520
1999-02-04,11.007813,10.679688,10.968750,5.972683
1999-02-05,11.218750,11.023438,11.117188,6.053512
1999-02-08,11.179688,11.015625,11.062500,6.023729
1999-02-09,11.062500,10.851563,10.851563,5.908872
1999-02-10,10.929688,10.828125,10.875000,5.921632
1999-02-11,10.914063,10.765625,10.765625,5.862078
1999-02-12,10.812500,10.710938,10.710938,5.832297
1999-02-16,10.914063,10.609375,10.609375,5.776995
1999-02-17,10.710938,10.500000,10.500000,5.717438
1999-02-18,10.593750,10.460938,10.578125,5.759979
1999-02-19,10.679688,10.593750,10.664063,5.806773
1999-02-22,10.875000,10.625000,10.843750,5.904617
1999-02-23,10.875000,10.687500,10.750000,5.853570
1999-02-24,10.906250,10.718750,10.718750,5.836555
1999-02-25,10.718750,10.625000,10.718750,5.836555
1999-02-26,10.718750,10.718750,10.718750,5.836555
1999-03-01,10.648438,10.593750,10.593750,5.768488
1999-03-02,10.718750,10.500000,10.500000,5.717438
1999-03-03,10.632813,10.429688,10.429688,5.679155
1999-03-04,10.562500,10.421875,10.460938,5.696168
1999-03-05,10.812500,10.585938,10.812500,5.887600
1999-03-08,10.882813,10.718750,10.882813,5.925889
1999-03-09,10.828125,10.750000,10.789063,5.874840
1999-03-10,10.984375,10.773438,10.937500,5.955664
1999-03-11,11.109375,10.968750,11.054688,6.019476
1999-03-12,11.179688,11.007813,11.007813,5.993954
1999-03-15,11.078125,10.953125,11.031250,6.006713
1999-03-16,11.046875,10.976563,10.984375,5.981193
1999-03-17,11.039063,10.937500,10.953125,5.964173
1999-03-18,11.187500,11.007813,11.187500,6.091794
1999-03-19,11.312500,11.164063,11.164063,6.099476
1999-03-22,11.234375,11.117188,11.195313,6.116551
1999-03-23,11.140625,10.851563,10.914063,5.962892
1999-03-24,11.000000,10.843750,10.921875,5.967161
1999-03-25,11.062500,10.921875,10.960938,5.988503
1999-03-26,10.953125,10.812500,10.875000,5.941550
1999-03-29,11.109375,10.960938,11.054688,6.039722
1999-03-30,11.046875,10.921875,11.031250,6.026916
1999-03-31,11.023438,10.859375,10.875000,5.941550
1999-04-01,11.085938,10.890625,11.000000,6.009843
1999-04-05,11.210938,11.031250,11.132813,6.082408
1999-04-06,11.132813,10.937500,10.937500,5.975697
1999-04-07,11.093750,10.968750,11.054688,6.039722
1999-04-08,11.210938,11.023438,11.210938,6.125090
1999-04-09,11.226563,11.046875,11.156250,6.095207
1999-04-12,11.507813,11.156250,11.484375,6.274481
1999-04-13,11.648438,11.507813,11.625000,6.351312
1999-04-14,12.460938,11.625000,12.187500,6.658634
1999-04-15,12.929688,12.343750,12.656250,6.914732
1999-04-16,12.945313,12.687500,12.796875,6.991562
1999-04-19,13.421875,12.796875,12.929688,7.064126
1999-04-20,12.968750,12.726563,12.773438,6.978759
1999-04-21,12.921875,12.710938,12.828125,7.008639
1999-04-22,12.859375,12.500000,12.625000,6.897662
1999-04-23,12.843750,12.562500,12.812500,7.000101
1999-04-26,12.875000,12.648438,12.687500,6.931807
1999-04-27,13.000000,12.593750,12.937500,7.068393
1999-04-28,13.687500,13.000000,13.625000,7.444013
1999-04-29,13.898438,13.656250,13.726563,7.499504
1999-04-30,13.812500,13.382813,13.562500,7.409863
1999-05-03,13.921875,13.562500,13.875000,7.580598
1999-05-04,14.007813,13.695313,13.789063,7.533649
1999-05-05,14.015625,13.664063,13.953125,7.623280
1999-05-06,14.125000,13.843750,14.070313,7.687306
1999-05-07,14.156250,13.882813,14.101563,7.704381
1999-05-10,14.242188,13.976563,14.023438,7.661698
1999-05-11,14.109375,13.843750,14.000000,7.648890
1999-05-12,13.960938,13.523438,13.648438,7.456819
1999-05-13,13.703125,13.515625,13.593750,7.426937
1999-05-14,13.742188,13.523438,13.554688,7.405597
1999-05-17,13.632813,13.406250,13.539063,7.397057
1999-05-18,13.492188,13.101563,13.210938,7.217787
1999-05-19,13.414063,13.171875,13.343750,7.290349
1999-05-20,13.453125,13.171875,13.187500,7.204985
1999-05-21,13.296875,13.093750,13.179688,7.200716
1999-05-24,13.445313,13.062500,13.125000,7.170837
1999-05-25,13.320313,13.000000,13.000000,7.102541
1999-05-26,12.945313,12.750000,12.875000,7.034247
1999-05-27,12.843750,12.500000,12.578125,6.872054
1999-05-28,12.625000,12.328125,12.328125,6.735465
1999-06-01,12.953125,12.429688,12.859375,7.025711
1999-06-02,12.890625,12.687500,12.843750,7.017175
1999-06-03,12.945313,12.757813,12.882813,7.038516
1999-06-04,13.171875,12.812500,13.125000,7.170837
1999-06-07,13.281250,13.125000,13.164063,7.192180
1999-06-08,13.203125,12.953125,13.000000,7.102541
1999-06-09,13.203125,12.875000,12.875000,7.034247
1999-06-10,13.093750,12.890625,13.093750,7.153765
1999-06-11,13.242188,12.976563,12.976563,7.089738
1999-06-14,13.421875,13.156250,13.289063,7.260472
1999-06-15,13.507813,13.320313,13.406250,7.324496
1999-06-16,13.468750,13.250000,13.460938,7.354376
1999-06-17,13.507813,13.296875,13.507813,7.379987
1999-06-18,13.515625,13.406250,13.500000,7.398718
1999-06-21,13.539063,13.171875,13.171875,7.218886
1999-06-22,13.218750,12.968750,13.000000,7.124697
1999-06-23,13.093750,12.890625,13.062500,7.158947
1999-06-24,13.015625,12.765625,12.765625,6.996245
1999-06-25,12.992188,12.781250,12.843750,7.039064
1999-06-28,13.140625,12.968750,13.085938,7.171794
1999-06-29,13.007813,12.914063,13.007813,7.128974
1999-06-30,13.164063,12.921875,13.000000,7.124697
1999-07-01,13.242188,12.984375,13.125000,7.193204
1999-07-02,13.406250,13.187500,13.390625,7.338779
1999-07-06,13.437500,13.265625,13.328125,7.304528
