date,high,low,close,adjclose
1998-12-22,11.695313,11.593750,11.632813,5.661899
1998-12-23,11.875000,11.656250,11.875000,5.779775
1998-12-24,11.906250,11.796875,11.812500,5.749357
1998-12-28,11.875000,11.671875,11.750000,5.718938
1998-12-29,11.867188,11.671875,11.867188,5.775977
1998-12-30,11.859375,11.679688,11.687500,5.688516
1998-12-31,11.671875,11.609375,11.671875,5.680909
1999-01-04,11.875000,11.640625,11.664063,5.677110
1999-01-05,11.734375,11.585938,11.601563,5.646691
1999-01-06,12.000000,11.656250,11.984375,5.833011
1999-01-07,11.992188,11.789063,11.929688,5.806393
1999-01-08,12.281250,11.687500,11.984375,5.833011
1999-01-11,11.890625,11.718750,11.757813,5.722740
1999-01-12,11.796875,11.562500,11.578125,5.635283
1999-01-13,11.593750,11.343750,11.406250,5.551627
1999-01-14,11.437500,11.187500,11.187500,5.445159
1999-01-15,11.375000,11.226563,11.359375,5.528813
1999-01-19,11.406250,11.265625,11.359375,5.528813
1999-01-20,11.406250,11.257813,11.265625,5.483183
1999-01-21,11.453125,11.250000,11.359375,5.528813
1999-01-22,11.406250,11.281250,11.296875,5.498392
1999-01-25,11.343750,11.187500,11.281250,5.490788
1999-01-26,11.296875,11.078125,11.171875,5.437553
1999-01-27,11.187500,10.937500,10.968750,5.338687
1999-01-28,11.000000,10.812500,10.906250,5.308270
1999-01-29,10.906250,10.718750,10.906250,5.308270
1999-02-01,10.937500,10.796875,10.796875,5.255033
1999-02-02,10.906250,10.765625,10.812500,5.262640
1999-02-03,11.125000,10.875000,11.062500,5.384319
1999-02-04,11.156250,11.031250,11.125000,5.414738
1999-02-05,11.468750,11.093750,11.437500,5.566837
1999-02-08,11.593750,11.468750,11.593750,5.642887
1999-02-09,11.609375,11.375000,11.375000,5.536415
1999-02-10,11.531250,11.343750,11.406250,5.551627
1999-02-11,11.359375,11.140625,11.312500,5.505997
1999-02-12,11.312500,11.078125,11.078125,5.391921
1999-02-16,11.218750,10.890625,11.000000,5.353898
1999-02-17,11.046875,10.875000,10.890625,5.300665
1999-02-18,10.984375,10.765625,10.921875,5.315875
1999-02-19,10.984375,10.765625,10.859375,5.285453
1999-02-22,11.000000,10.843750,10.968750,5.338687
1999-02-23,11.046875,10.875000,10.875000,5.293058
1999-02-24,11.046875,10.828125,10.828125,5.270243
1999-02-25,10.953125,10.812500,10.882813,5.296863
1999-02-26,11.000000,10.812500,10.812500,5.262640
1999-03-01,10.843750,10.671875,10.703125,5.209404
