date,high,low,close,adjclose
1998-12-22,26.531250,25.875000,26.500000,13.798905
1998-12-23,28.796875,26.687500,27.140625,14.132483
1998-12-24,27.140625,27.000000,27.093750,14.108080
1998-12-28,27.156250,26.812500,26.937500,14.026712
1998-12-29,27.562500,25.984375,27.531250,14.335882
1998-12-30,27.609375,27.312500,27.359375,14.246391
1998-12-31,27.421875,27.078125,27.156250,14.140615
1999-01-04,27.593750,26.734375,26.937500,14.026712
1999-01-05,27.281250,27.015625,27.140625,14.132483
1999-01-06,27.484375,27.156250,27.468750,14.303349
1999-01-07,27.265625,26.953125,27.156250,14.140615
1999-01-08,27.171875,26.625000,27.046875,14.083672
1999-01-11,26.984375,26.328125,26.500000,13.798905
1999-01-12,26.578125,26.250000,26.296875,13.693128
1999-01-13,26.484375,25.546875,26.343750,13.717540
1999-01-14,26.328125,25.484375,25.843750,13.457186
1999-01-15,26.218750,25.828125,26.125000,13.603632
1999-01-19,26.328125,25.656250,25.828125,13.449050
1999-01-20,26.187500,25.781250,25.906250,13.489727
1999-01-21,25.937500,25.359375,25.515625,13.286327
1999-01-22,25.671875,25.218750,25.390625,13.221231
1999-01-25,25.484375,25.109375,25.328125,13.188696
1999-01-26,25.921875,25.296875,25.921875,13.497869
1999-01-27,26.421875,26.093750,26.265625,13.676857
1999-01-28,26.796875,26.265625,26.734375,13.920947
1999-01-29,26.984375,26.437500,26.796875,13.953478
1999-02-01,27.078125,26.671875,26.687500,13.896532
1999-02-02,26.906250,26.531250,26.906250,14.010442
1999-02-03,26.906250,26.546875,26.812500,13.961618
1999-02-04,26.906250,26.562500,26.687500,13.896532
1999-02-05,26.687500,26.250000,26.281250,13.684995
1999-02-08,26.375000,26.015625,26.234375,13.660583
1999-02-09,26.171875,25.718750,25.765625,13.416499
1999-02-10,25.953125,25.625000,25.953125,13.514135
1999-02-11,26.406250,25.968750,26.390625,13.741947
1999-02-12,26.515625,25.984375,26.171875,13.628042
1999-02-16,26.671875,26.406250,26.484375,13.790771
1999-02-17,26.718750,26.031250,26.218750,13.652449
1999-02-18,26.578125,26.265625,26.500000,13.798905
1999-02-19,26.625000,26.343750,26.390625,13.741947
1999-02-22,27.125000,26.421875,26.953125,14.034854
1999-02-23,27.156250,26.781250,26.906250,14.010442
1999-02-24,27.265625,26.593750,26.750000,13.929085
1999-02-25,26.625000,26.078125,26.437500,13.766360
1999-02-26,26.593750,26.218750,26.515625,13.807032
1999-03-01,26.515625,26.156250,26.390625,13.741947
1999-03-02,26.703125,26.265625,26.312500,13.701270
1999-03-03,26.421875,26.046875,26.312500,13.701270
1999-03-04,26.718750,26.218750,26.671875,13.888397
1999-03-05,27.234375,26.687500,27.078125,14.099942
1999-03-08,27.203125,26.828125,27.203125,14.165023
1999-03-09,27.390625,27.000000,27.234375,14.181303
1999-03-10,27.125000,26.843750,26.937500,14.026712
1999-03-11,27.390625,27.015625,27.203125,14.165023
1999-03-12,27.578125,27.250000,27.437500,14.287070
1999-03-15,27.875000,27.500000,27.671875,14.409111
1999-03-16,27.953125,27.703125,27.796875,14.474202
1999-03-17,27.781250,27.312500,27.328125,14.230118
1999-03-18,27.796875,27.218750,27.796875,14.474202
1999-03-19,27.921875,27.406250,27.625000,14.410103
1999-03-22,27.625000,27.281250,27.609375,14.401952
1999-03-23,27.484375,26.515625,26.828125,13.994424
1999-03-24,26.859375,26.500000,26.812500,13.986275
1999-03-25,27.187500,26.765625,27.015625,14.092233
1999-03-26,26.984375,26.703125,26.921875,14.043334
1999-03-29,27.468750,27.187500,27.265625,14.222645
1999-03-30,27.140625,26.718750,27.031250,14.100393
1999-03-31,27.234375,26.406250,26.437500,13.790668
1999-04-01,26.718750,26.375000,26.484375,13.815120
1999-04-05,26.750000,26.531250,26.625000,13.888469
1999-04-06,26.625000,26.140625,26.328125,13.733608
1999-04-07,26.546875,26.140625,26.296875,13.717306
1999-04-08,26.968750,26.343750,26.906250,14.035181
1999-04-09,27.125000,26.640625,26.968750,14.067785
1999-04-12,27.546875,27.000000,27.421875,14.304149
1999-04-13,27.671875,27.187500,27.515625,14.353046
1999-04-14,27.500000,26.578125,26.687500,13.921075
1999-04-15,26.765625,25.750000,26.031250,13.578751
1999-04-16,26.156250,25.875000,26.140625,13.635806
1999-04-19,26.187500,25.000000,25.046875,13.065276
1999-04-20,25.734375,25.125000,25.515625,13.309787
1999-04-21,26.515625,25.609375,26.328125,13.733608
1999-04-22,26.656250,26.296875,26.656250,13.904778
1999-04-23,26.718750,26.390625,26.609375,13.880327
1999-04-26,26.625000,26.234375,26.421875,13.782514
1999-04-27,26.796875,26.453125,26.453125,13.798817
1999-04-28,26.562500,25.593750,26.062500,13.595053
1999-04-29,26.109375,25.750000,25.859375,13.489105
1999-04-30,25.968750,25.312500,25.515625,13.309787
1999-05-03,26.109375,25.593750,26.109375,13.619504
1999-05-04,26.312500,25.734375,25.890625,13.505400
1999-05-05,26.140625,25.484375,26.140625,13.635806
1999-05-06,26.250000,25.734375,25.796875,13.456495
1999-05-07,26.203125,25.750000,26.015625,13.570603
1999-05-10,26.000000,25.562500,25.609375,13.358681
1999-05-11,26.000000,25.531250,25.718750,13.415741
1999-05-12,26.187500,25.671875,26.093750,13.611355
1999-05-13,26.312500,26.000000,26.218750,13.676559
1999-05-14,26.031250,25.515625,25.750000,13.432048
1999-05-17,25.968750,25.500000,25.921875,13.521708
1999-05-18,26.968750,25.359375,25.578125,13.342389
1999-05-19,25.984375,25.625000,25.937500,13.529853
1999-05-20,26.171875,25.859375,26.000000,13.562453
1999-05-21,26.109375,25.734375,25.921875,13.521708
1999-05-24,26.046875,25.250000,25.250000,13.171230
1999-05-25,25.546875,25.000000,25.000000,13.040817
1999-05-26,25.250000,24.859375,25.000000,13.040817
1999-05-27,25.265625,24.765625,24.875000,12.975613
1999-05-28,25.406250,25.000000,25.250000,13.171230
1999-06-01,25.375000,24.953125,25.343750,13.220127
1999-06-02,25.328125,24.953125,24.953125,13.016363
1999-06-03,25.468750,25.000000,25.187500,13.138620
1999-06-04,26.062500,25.187500,26.062500,13.595053
1999-06-07,26.109375,25.765625,25.843750,13.480956
1999-06-08,25.828125,25.343750,25.484375,13.293483
1999-06-09,25.671875,25.250000,25.343750,13.220127
1999-06-10,25.234375,24.812500,24.875000,12.975613
1999-06-11,25.312500,24.625000,24.625000,12.845206
1999-06-14,24.843750,24.562500,24.703125,12.885962
1999-06-15,25.000000,24.671875,24.765625,12.918559
1999-06-16,25.031250,24.718750,24.953125,13.016363
1999-06-17,25.375000,24.875000,25.156250,13.122326
1999-06-18,25.156250,24.812500,25.046875,13.117414
1999-06-21,25.015625,24.484375,24.765625,12.970116
1999-06-22,25.000000,24.718750,24.906250,13.043763
1999-06-23,24.890625,24.515625,24.640625,12.904654
1999-06-24,24.906250,24.500000,24.562500,12.863741
1999-06-25,25.000000,24.406250,24.546875,12.855559
1999-06-28,25.859375,24.515625,24.562500,12.863741
1999-06-29,25.218750,24.515625,25.000000,13.092867
1999-06-30,25.625000,24.828125,25.593750,13.403820
1999-07-01,25.968750,25.578125,25.781250,13.502014
1999-07-02,26.000000,25.718750,25.875000,13.551115
1999-07-06,26.234375,25.703125,25.859375,13.542936
1999-07-07,25.921875,25.687500,25.750000,13.485654
1999-07-08,25.984375,25.484375,25.546875,13.379274
1999-07-09,25.906250,25.625000,25.671875,13.444736
1999-07-12,25.750000,25.546875,25.625000,13.420189
1999-07-13,26.000000,25.468750,25.718750,13.469283
1999-07-14,25.890625,25.546875,25.640625,13.428367
1999-07-15,26.218750,25.828125,25.921875,13.575667
1999-07-16,26.203125,25.828125,25.875000,13.551115
1999-07-19,26.250000,25.593750,25.656250,13.436555
1999-07-20,25.984375,25.328125,25.437500,13.321995
1999-07-21,25.718750,25.343750,25.546875,13.379274
1999-07-22,25.656250,25.125000,25.265625,13.231978
1999-07-23,25.468750,25.062500,25.078125,13.133782
1999-07-26,25.312500,25.015625,25.312500,13.256522
1999-07-27,25.562500,25.093750,25.390625,13.297443
1999-07-28,25.312500,25.031250,25.156250,13.174693
1999-07-29,25.000000,24.546875,24.781250,12.978309
1999-07-30,24.937500,24.625000,24.640625,12.904654
1999-08-02,24.968750,24.640625,24.640625,12.904654
1999-08-03,24.953125,24.562500,24.828125,13.002857
1999-08-04,24.984375,24.187500,24.375000,12.765542
1999-08-05,24.500000,23.859375,24.437500,12.798281
1999-08-06,24.281250,23.796875,24.031250,12.585520
1999-08-09,24.187500,23.890625,23.968750,12.552782
1999-08-10,24.078125,23.625000,23.890625,12.511868
1999-08-11,23.984375,23.562500,23.640625,12.380939
1999-08-12,24.296875,23.734375,24.078125,12.610061
1999-08-13,24.437500,24.109375,24.250000,12.700081
1999-08-16,24.500000,24.171875,24.390625,12.773729
1999-08-17,24.562500,24.234375,24.515625,12.839195
1999-08-18,24.609375,24.171875,24.171875,12.659163
1999-08-19,24.390625,24.015625,24.328125,12.740997
1999-08-20,24.875000,24.218750,24.812500,12.994673
1999-08-23,25.375000,25.000000,25.359375,13.281075
1999-08-24,25.437500,25.093750,25.250000,13.223798
1999-08-25,26.000000,25.359375,26.000000,13.616584
1999-08-26,26.046875,25.578125,25.578125,13.395640
1999-08-27,25.828125,25.234375,25.250000,13.223798
1999-08-30,25.500000,25.125000,25.281250,13.240160
1999-08-31,25.375000,24.890625,25.062500,13.125596
1999-09-01,25.171875,24.828125,24.968750,13.076503
1999-09-02,25.015625,24.625000,24.937500,13.060135
1999-09-03,25.500000,25.203125,25.375000,13.289263
1999-09-07,25.500000,25.046875,25.187500,13.191061
1999-09-08,25.343750,24.921875,25.203125,13.199240
1999-09-09,25.031250,24.718750,24.843750,13.011038
1999-09-10,25.125000,24.750000,24.875000,13.027401
1999-09-13,24.875000,24.625000,24.843750,13.011038
1999-09-14,24.671875,24.328125,24.437500,12.798281
1999-09-15,24.843750,24.250000,24.250000,12.700081
