date,high,low,close,adjclose
1998-12-22,25.062500,24.812500,25.031250,16.652407
1998-12-23,25.593750,25.187500,25.593750,17.026628
1998-12-24,25.750000,25.515625,25.750000,17.130571
1998-12-28,25.750000,25.375000,25.375000,16.881096
1998-12-29,25.937500,25.375000,25.937500,17.255310
1998-12-30,26.031250,25.718750,25.718750,17.109795
1998-12-31,26.000000,25.750000,26.000000,17.296890
1999-01-04,26.375000,25.781250,25.937500,17.255310
1999-01-05,26.343750,26.000000,26.343750,17.525576
1999-01-06,26.781250,26.468750,26.781250,17.816631
1999-01-07,26.687500,26.343750,26.656250,17.733477
1999-01-08,26.984375,26.718750,26.984375,17.951759
1999-01-11,27.250000,26.812500,27.046875,17.993336
1999-01-12,27.250000,26.906250,26.937500,17.920570
1999-01-13,26.875000,25.781250,26.687500,17.754253
1999-01-14,26.859375,26.375000,26.468750,17.608725
1999-01-15,26.906250,26.562500,26.828125,17.847813
1999-01-19,27.656250,27.125000,27.593750,18.357157
1999-01-20,28.125000,27.593750,27.750000,18.461103
1999-01-21,27.687500,26.718750,26.781250,17.816631
1999-01-22,26.875000,26.406250,26.671875,17.743868
1999-01-25,26.906250,26.687500,26.890625,17.889391
1999-01-26,27.031250,26.671875,27.015625,17.972549
1999-01-27,27.093750,26.750000,26.750000,17.795834
1999-01-28,27.343750,27.000000,27.250000,18.128462
1999-01-29,27.281250,26.906250,27.250000,18.128462
1999-02-01,27.468750,27.156250,27.406250,18.232418
1999-02-02,27.046875,26.625000,27.000000,17.962147
1999-02-03,27.515625,26.937500,27.515625,18.305183
1999-02-04,27.437500,27.125000,27.312500,18.170052
1999-02-05,27.312500,26.812500,27.000000,17.962147
1999-02-08,27.125000,26.875000,26.984375,17.951759
1999-02-09,27.093750,26.500000,26.500000,17.629519
1999-02-10,26.562500,26.187500,26.562500,17.671103
1999-02-11,27.281250,26.375000,27.281250,18.149260
1999-02-12,27.125000,26.718750,26.875000,17.879005
1999-02-16,27.312500,27.000000,27.125000,18.045309
1999-02-17,27.250000,26.812500,26.843750,17.858204
1999-02-18,27.203125,26.765625,27.187500,18.086895
1999-02-19,27.375000,27.187500,27.265625,18.138851
1999-02-22,27.859375,27.312500,27.843750,18.523464
1999-02-23,27.906250,27.500000,27.796875,18.492294
1999-02-24,27.984375,27.468750,27.468750,18.273989
1999-02-25,27.343750,26.875000,27.203125,18.097288
1999-02-26,27.359375,26.890625,27.281250,18.149260
1999-03-01,27.250000,26.906250,27.234375,18.118078
1999-03-02,27.640625,27.046875,27.218750,18.107674
1999-03-03,27.312500,27.000000,27.046875,17.993336
1999-03-04,27.531250,27.234375,27.531250,18.315584
1999-03-05,28.218750,27.843750,28.156250,18.731371
1999-03-08,28.187500,27.937500,28.187500,18.752153
1999-03-09,28.250000,27.812500,27.968750,18.606627
1999-03-10,28.218750,27.781250,28.218750,18.772942
1999-03-11,28.562500,28.218750,28.406250,18.897684
1999-03-12,28.656250,28.250000,28.250000,18.793739
