date,equity
2020-11-23,100003.99
2020-11-24,100195.73
2020-11-25,100279.08
2020-11-27,100360.39
2020-11-30,100404.29
2020-12-01,100466.11
2020-12-02,100492.22
2020-12-03,100511.17
2020-12-04,100543.13
2020-12-07,100558.23
2020-12-08,100580.46
2020-12-09,100530.59
2020-12-10,100669.55
2020-12-11,100598.14
2020-12-14,100537.23
2020-12-15,100945.06
2020-12-16,100957.79
2020-12-17,101065.54
2020-12-18,101103.78
2020-12-21,100794.30
2020-12-22,101016.69
2020-12-23,101112.49
2020-12-24,101332.55
2020-12-28,101458.44
2020-12-29,101390.18
2020-12-30,101494.71
2020-12-31,101557.63
2021-01-04,101721.23
2021-01-05,102096.68
2021-01-06,102379.95
2021-01-07,103190.85
2021-01-08,103358.85
2021-01-11,103154.38
2021-01-12,103378.47
2021-01-13,103495.37
2021-01-14,103547.64
2021-01-15,103455.07
2021-01-19,103574.78
2021-01-20,103942.35
2021-01-21,104022.47
2021-01-22,104008.98
2021-01-25,104023.20
2021-01-26,103974.87
2021-01-27,102799.54
2021-01-28,103476.86
2021-01-29,102781.12
2021-02-01,103803.76
2021-02-02,104928.61
2021-02-03,105219.58
2021-02-04,105734.94
2021-02-05,106020.11
2021-02-08,106168.40
2021-02-09,106168.05
2021-02-10,106162.14
2021-02-11,106223.53
2021-02-12,106280.09
2021-02-16,106240.55
2021-02-17,106230.90
2021-02-18,106161.78
2021-02-19,106229.76
2021-02-22,105733.39
2021-02-23,105702.80
2021-02-24,106087.49
2021-02-25,105449.29
2021-02-26,105725.18
2021-03-01,106773.20
2021-03-02,107102.04
2021-03-03,106359.54
2021-03-04,105824.11
2021-03-05,106550.16
2021-03-08,105729.64
2021-03-09,106803.25
2021-03-10,107094.82
2021-03-11,108385.28
2021-03-12,108495.73
2021-03-15,108944.66
2021-03-16,109120.15
2021-03-17,109318.26
2021-03-18,108563.89
2021-03-19,109621.00
2021-03-22,110059.11
2021-03-23,109771.34
2021-03-24,109302.26
2021-03-25,109834.19
2021-03-26,110518.53
2021-03-29,110096.54
2021-03-30,110421.28
2021-03-31,111392.54
2021-04-01,111971.11
2021-04-05,112124.68
2021-04-06,112061.85
2021-04-07,112024.21
2021-04-08,112272.63
2021-04-09,112398.04
2021-04-12,112346.30
2021-04-13,112396.98
2021-04-14,112629.09
2021-04-15,112853.52
2021-04-16,112959.80
2021-04-19,112657.95
2021-04-20,112004.64
2021-04-21,113037.96
2021-04-22,112744.89
2021-04-23,113414.79
2021-04-26,113625.69
2021-04-27,113630.16
2021-04-28,113737.39
2021-04-29,113787.01
2021-04-30,113637.32
2021-05-03,114062.31
2021-05-04,113545.38
2021-05-05,113668.81
2021-05-06,114016.14
2021-05-07,114719.37
2021-05-10,113418.53
2021-05-11,113120.15
2021-05-12,111001.95
2021-05-13,112569.66
2021-05-14,114784.19
2021-05-17,114747.63
2021-05-18,114414.95
2021-05-19,114441.24
2021-05-20,115275.23
2021-05-21,115398.53
2021-05-24,115794.02
2021-05-25,115649.54
2021-05-26,116249.77
2021-05-27,116427.45
2021-05-28,116513.45
2021-06-01,116425.86
2021-06-02,116589.76
2021-06-03,116547.26
2021-06-04,116737.39
2021-06-07,116954.62
2021-06-08,117028.33
2021-06-09,116936.41
2021-06-10,117140.93
2021-06-11,117313.97
2021-06-14,117291.48
2021-06-15,117250.59
2021-06-16,117196.42
2021-06-17,117202.85
2021-06-18,116840.24
2021-06-21,118037.22
2021-06-22,118431.36
2021-06-23,118665.34
2021-06-24,118889.42
2021-06-25,118967.69
2021-06-28,119012.93
2021-06-29,119023.71
2021-06-30,119064.90
2021-07-01,119012.66
2021-07-02,119037.20
2021-07-06,119034.40
2021-07-07,119042.19
2021-07-08,119025.74
2021-07-09,119019.63
2021-07-12,119019.63
2021-07-13,119019.63
2021-07-14,119019.63
2021-07-15,119019.63
2021-07-16,119019.63
2021-07-19,119019.63
2021-07-20,119019.63
2021-07-21,119019.63
2021-07-22,119019.63
2021-07-23,119019.63
2021-07-26,119019.63
2021-07-27,119019.63
2021-07-28,119024.83
2021-07-29,119185.31
2021-07-30,119110.00
2021-08-02,119084.94
2021-08-03,119484.72
2021-08-04,119336.59
2021-08-05,119790.84
2021-08-06,120022.89
2021-08-09,119925.52
2021-08-10,120001.19
2021-08-11,120202.69
2021-08-12,120257.15
2021-08-13,120224.94
2021-08-16,120060.92
2021-08-17,119721.13
2021-08-18,119173.26
2021-08-19,118949.87
2021-08-20,120023.26
2021-08-23,120473.70
2021-08-24,120569.82
2021-08-25,120560.13
2021-08-26,120555.90
2021-08-27,120523.15
2021-08-30,120511.05
2021-08-31,120558.91
2021-09-01,120708.57
2021-09-02,120785.47
2021-09-03,120778.14
2021-09-07,120612.64
2021-09-08,120528.88
2021-09-09,120506.57
2021-09-10,120598.44
2021-09-13,121044.30
2021-09-14,120739.96
2021-09-15,121196.95
2021-09-16,121246.87
2021-09-17,121247.71
2021-09-20,120367.49
2021-09-21,120731.10
2021-09-22,121587.06
2021-09-23,122015.27
2021-09-24,122781.81
2021-09-27,122869.60
2021-09-28,122645.23
2021-09-29,122645.23
2021-09-30,122645.23
2021-10-01,122645.23
2021-10-04,122645.23
2021-10-05,122645.23
2021-10-06,122645.23
2021-10-07,122645.23
2021-10-08,122645.23
2021-10-11,122645.23
2021-10-12,122645.23
2021-10-13,122645.23
2021-10-14,122645.23
2021-10-15,122645.23
2021-10-18,122645.23
2021-10-19,122645.23
2021-10-20,122645.23
2021-10-21,122645.23
2021-10-22,122645.23
2021-10-25,122645.23
2021-10-26,122645.23
2021-10-27,122645.23
2021-10-28,122645.23
2021-10-29,122645.23
2021-11-01,122645.23
2021-11-02,122645.23
2021-11-03,122645.23
2021-11-04,122645.23
2021-11-05,122645.23
2021-11-08,122645.23
