date,equity
2007-11-28,100000.00
2007-11-29,100000.00
2007-11-30,100000.00
2007-12-03,100000.00
2007-12-04,100000.00
2007-12-05,100000.00
2007-12-06,100000.00
2007-12-07,100000.00
2007-12-10,100000.00
2007-12-11,100000.00
2007-12-12,100000.00
2007-12-13,100000.00
2007-12-14,100000.00
2007-12-17,100000.00
2007-12-18,100000.00
2007-12-19,100000.00
2007-12-20,100000.00
2007-12-21,100000.00
2007-12-24,100000.00
2007-12-26,100000.00
2007-12-27,100000.00
2007-12-28,100000.00
2007-12-31,100000.00
2008-01-02,100000.00
2008-01-03,100000.00
2008-01-04,100000.00
2008-01-07,100000.00
2008-01-08,100000.00
2008-01-09,100000.00
2008-01-10,100000.00
2008-01-11,100000.00
2008-01-14,100000.00
2008-01-15,100000.00
2008-01-16,100000.00
2008-01-17,100000.00
2008-01-18,100000.00
2008-01-22,100000.00
2008-01-23,100000.00
2008-01-24,100000.00
2008-01-25,100000.00
2008-01-28,100000.00
2008-01-29,100000.00
2008-01-30,100000.00
2008-01-31,100000.00
2008-02-01,100000.00
2008-02-04,100000.00
2008-02-05,100000.00
2008-02-06,100000.00
2008-02-07,100000.00
2008-02-08,100000.00
2008-02-11,100000.00
2008-02-12,100000.00
2008-02-13,100000.00
2008-02-14,100000.00
2008-02-15,100000.00
2008-02-19,100000.00
2008-02-20,100000.00
2008-02-21,100000.00
2008-02-22,100000.00
2008-02-25,100000.00
2008-02-26,100000.00
2008-02-27,100000.00
2008-02-28,100000.00
2008-02-29,100000.00
2008-03-03,100000.00
2008-03-04,100000.00
2008-03-05,100000.00
2008-03-06,100000.00
2008-03-07,100000.00
2008-03-10,100000.00
2008-03-11,100000.00
2008-03-12,100000.00
2008-03-13,100000.00
2008-03-14,100000.00
2008-03-17,100000.00
2008-03-18,100000.00
2008-03-19,100000.00
2008-03-20,100000.00
2008-03-24,100000.00
2008-03-25,100000.00
2008-03-26,100000.00
2008-03-27,100000.00
2008-03-28,100000.00
2008-03-31,100000.00
2008-04-01,100000.00
2008-04-02,100000.00
2008-04-03,100000.00
2008-04-04,100000.00
2008-04-07,100000.00
2008-04-08,100000.00
2008-04-09,100000.00
2008-04-10,100000.00
2008-04-11,100000.00
2008-04-14,100000.00
2008-04-15,100000.00
2008-04-16,100000.00
2008-04-17,100000.00
2008-04-18,100000.00
2008-04-21,100000.00
2008-04-22,100000.00
2008-04-23,100000.00
2008-04-24,100000.00
2008-04-25,100000.00
2008-04-28,100000.00
2008-04-29,100000.00
2008-04-30,100000.00
2008-05-01,100000.00
2008-05-02,100000.00
2008-05-05,100000.00
2008-05-06,100000.00
2008-05-07,100000.00
2008-05-08,100000.00
2008-05-09,100000.00
2008-05-12,100000.00
2008-05-13,100000.00
2008-05-14,100000.00
2008-05-15,100000.00
2008-05-16,100000.00
2008-05-19,100000.00
2008-05-20,100000.00
2008-05-21,100000.00
2008-05-22,100000.00
2008-05-23,100000.00
2008-05-27,100000.00
2008-05-28,100000.00
2008-05-29,100000.00
2008-05-30,100000.00
2008-06-02,100000.00
2008-06-03,100000.00
2008-06-04,100000.00
2008-06-05,100000.00
2008-06-06,100004.38
2008-06-09,99997.03
2008-06-10,99968.95
2008-06-11,99413.21
2008-06-12,99413.21
2008-06-13,99413.21
2008-06-16,99413.21
2008-06-17,99413.21
2008-06-18,99413.21
2008-06-19,99413.21
2008-06-20,99413.21
2008-06-23,99413.21
2008-06-24,99413.21
2008-06-25,99413.21
2008-06-26,99413.21
2008-06-27,99413.21
2008-06-30,99413.21
2008-07-01,99413.21
2008-07-02,99413.21
2008-07-03,99413.21
2008-07-07,99413.21
2008-07-08,99413.21
2008-07-09,99413.21
2008-07-10,99413.21
2008-07-11,99413.21
2008-07-14,99413.21
2008-07-15,99413.21
2008-07-16,99413.21
2008-07-17,99413.21
2008-07-18,99413.21
2008-07-21,99413.21
2008-07-22,99413.21
2008-07-23,99413.21
